time_s,connection,new_k
0.004,84.0,720.0
0.007,13.0,720.0
0.008,6.0,720.0
0.011,114.0,720.0
0.012,115.0,720.0
0.027,15.0,720.0
0.029,70.0,720.0
0.03,13.0,432.0
0.033,87.0,720.0
0.039,95.0,720.0
0.04,105.0,720.0
0.044,37.0,720.0
0.046,19.0,720.0
0.057,50.0,720.0
0.083,89.0,720.0
0.099,3.0,720.0
0.10400000000000001,100.0,720.0
0.111,40.0,720.0
0.117,38.0,720.0
0.131,107.0,720.0
0.14,88.0,720.0
0.154,122.0,720.0
0.159,49.0,720.0
0.194,18.0,720.0
0.203,112.0,720.0
0.20600000000000002,79.0,720.0
0.214,40.0,432.0
0.217,9.0,720.0
0.222,95.0,432.0
0.225,40.0,259.2
0.23700000000000002,30.0,720.0
0.244,61.0,720.0
0.245,39.0,720.0
0.245,99.0,720.0
0.248,13.0,259.2
0.248,117.0,720.0
0.263,75.0,720.0
0.276,29.0,720.0
0.279,91.0,720.0
0.28300000000000003,115.0,432.0
0.289,54.0,720.0
0.295,81.0,720.0
0.305,78.0,720.0
0.307,125.0,720.0
0.335,56.0,720.0
0.337,77.0,720.0
0.338,22.0,720.0
0.34,49.0,432.0
0.34500000000000003,53.0,720.0
0.34600000000000003,66.0,720.0
