time_s,potential_energy_J,kinetic_energy_J,generator_energy_J
0.0,502133857791.2495,1.0335142744434866e+21,5.684328509439177e+17
0.001,2.356899764031879e+20,6.341459893706331e+20,9.172131450977659e+17
0.002,6.810961626977762e+20,2.6278277857012482e+20,1.0617436733113345e+18
0.003,8.959279130598171e+20,2.255659799803565e+20,1.1858049623005307e+18
0.004,7.93769117977483e+20,3.928149712641976e+20,1.4018531964958395e+18
0.005,6.335645657761557e+20,4.899291803125773e+20,1.671314245667757e+18
0.006,6.06170160525079e+20,4.783516076167905e+20,1.9344076298569917e+18
0.007,6.048480892127057e+20,5.4011628861145986e+20,2.2314715885932948e+18
0.008,4.598887563970874e+20,7.518001888171717e+20,2.644961692442739e+18
0.009000000000000001,2.281441571920055e+20,9.301587590647788e+20,3.1565490099283676e+18
0.01,1.6610599874836903e+20,8.371914889459346e+20,3.617004328848632e+18
0.011,4.1220810977307813e+20,4.820429303280858e+20,3.882127940529079e+18
0.012,7.980566587417238e+20,1.5144454006648177e+20,3.965422437565644e+18
0.013000000000000001,9.871617651856098e+20,1.2185112318960609e+20,4.0324405553199273e+18
0.014,8.500469529222317e+20,3.8060364336145184e+20,4.241772559168726e+18
0.015,5.4230070277734826e+20,6.605856543529123e+20,4.605094669062828e+18
0.016,3.465595422505738e+20,7.513318726207476e+20,5.018327199004239e+18
0.017,3.433275815118361e+20,7.097814989224411e+20,5.408707023411581e+18
0.018000000000000002,3.823984920232172e+20,7.025790256063743e+20,5.795125487495087e+18
0.019,3.5868073010383205e+20,7.259544935038403e+20,6.194400458922199e+18
0.02,3.822696376896611e+20,6.14849667482316e+20,6.532567776037473e+18
0.021,5.936259037698028e+20,3.2909878430543446e+20,6.713572107405463e+18
0.022,8.919042229193997e+20,9.827765625693985e+19,6.76762481834678e+18
0.023,9.826228530076342e+20,1.8739629148859466e+20,6.870692778665507e+18
0.024,7.223480691398473e+20,5.615103262881531e+20,7.179523458123991e+18
0.025,3.240560038102117e+20,8.888776602755545e+20,7.668406171275547e+18
0.026000000000000002,1.3867567904198404e+20,9.053965166420361e+20,8.166374255428666e+18
0.027,2.6776109793318905e+20,6.912272876352293e+20,8.546549263628042e+18
0.028,4.911624610863569e+20,5.14735717222222e+20,8.829653908100264e+18
0.029,5.933959878277977e+20,4.748340625556864e+20,9.090812642505892e+18
0.03,6.085641975165853e+20,4.3886517632114216e+20,9.33218848948252e+18
0.031,6.888262299446384e+20,3.170917663482332e+20,9.50658896097405e+18
0.032,8.149119856482567e+20,2.3964434423361287e+20,9.638393350302536e+18
0.033,7.951718175648308e+20,3.8040131261310514e+20,9.847614072239743e+18
0.034,5.441439876121338e+20,6.945302325240758e+20,1.0229605700127986e+19
0.035,2.3258538302183467e+20,9.348509828632322e+20,1.0743773740702763e+19
0.036000000000000004,1.153212280894159e+20,9.057979845195912e+20,1.1241962632188539e+19
0.037,2.8077105698532128e+20,6.416702937051774e+20,1.1594881293726386e+19
0.038,5.877136405955203e+20,3.516610442573147e+20,1.178829486806791e+19
0.039,8.098861290035007e+20,2.2818244384680912e+20,1.1913795212183654e+19
0.04,8.271798661395382e+20,2.9476498903938725e+20,1.2075915956155318e+19
0.041,7.091774887302463e+20,4.221903629687435e+20,1.2308120655788126e+19
0.042,5.979269528724442e+20,5.098549488315852e+20,1.2588540877645498e+19
0.043000000000000003,5.2055358734501904e+20,6.011263455414342e+20,1.2919160367693287e+19
0.044,3.956043830025217e+20,7.593775776877195e+20,1.3336818035421532e+19
0.045,2.3113255861754013e+20,8.811692420212358e+20,1.3821461118533212e+19
0.046,2.048081879376002e+20,7.768968330044678e+20,1.424875437668567e+19
0.047,4.385255109914533e+20,4.5512482246611095e+20,1.449907302904203e+19
0.048,7.763574288077035e+20,1.7959392897566953e+20,1.4597849689978649e+19
0.049,9.292885477777487e+20,1.7304915759339946e+20,1.469302672665502e+19
0.05,8.05980604594606e+20,3.796429678990979e+20,1.4901830358999523e+19
0.051000000000000004,5.730657499155121e+20,5.909968116909829e+20,1.5226878605429563e+19
0.052000000000000005,4.095478656848228e+20,7.028343233014301e+20,1.561343748324535e+19
0.053,3.3823770913204725e+20,7.47504280213568e+20,1.6024564837362813e+19
0.054,3.1232612947102905e+20,7.524719538895168e+20,1.6438424412002048e+19
0.055,3.3710621926402274e+20,6.879319694818337e+20,1.6816786995217056e+19
0.056,4.459966902060735e+20,5.380767545444688e+20,1.7112729210216514e+19
0.057,6.245668562757275e+20,3.496301231477542e+20,1.730502577794778e+19
0.058,7.976261600641786e+20,2.1501759496268343e+20,1.7423285455177255e+19
0.059000000000000004,8.66263859350191e+20,2.3348791438863286e+20,1.7551703808091003e+19
0.06,7.504967764935644e+20,4.3947352677891985e+20,1.779341424781941e+19
0.061,4.8150323537016816e+20,7.264601131274306e+20,1.8192967310039497e+19
0.062,2.2987186709351298e+20,8.940415032300621e+20,1.868469013681603e+19
0.063,1.7634700715726157e+20,8.297858409699595e+20,1.9141072349349507e+19
0.064,3.351031528202572e+20,6.174607389275989e+20,1.9480675755759686e+19
0.065,5.5522444392967314e+20,4.260035035423135e+20,1.971497768270796e+19
0.066,6.98519508313826e+20,3.322010338472513e+20,1.989768825132395e+19
0.067,7.53010580643464e+20,3.044949919705659e+20,2.006516049690776e+19
0.068,7.600390598526679e+20,3.218518584983835e+20,2.024217901908187e+19
0.069,7.067334629894687e+20,4.2330502556783156e+20,2.0474996783144178e+19
0.07,5.5243262813179426e+20,6.209491109039754e+20,2.0816518794141364e+19
0.07100000000000001,3.3636106783615386e+20,8.187353185994481e+20,2.126682321937106e+19
0.07200000000000001,1.9618806372921223e+20,8.692405557787496e+20,2.1744905525049373e+19
0.073,2.5028176247537906e+20,7.167656865671934e+20,2.213912665266133e+19
0.074,4.7400560099235725e+20,4.624478524106679e+20,2.23934729714872e+19
0.075,7.141208120731725e+20,2.7440388576457346e+20,2.2544395108657713e+19
0.076,8.26316112604086e+20,2.4444641413829204e+20,2.2678840636433773e+19
0.077,7.826229820399803e+20,3.435240430287188e+20,2.2867778860099568e+19
0.078,6.493071251272874e+20,4.9197570604529576e+20,2.313836549842448e+19
0.079,4.9992922566787144e+20,6.325535328593012e+20,2.3486269941497094e+19
0.08,3.745339963782847e+20,7.373640570691002e+20,2.38918201728851e+19
0.081,2.955083734224804e+20,7.842823783747437e+20,2.4323175480991207e+19
0.082,2.876558224628868e+20,7.451247185275701e+20,2.4732994076181373e+19
0.083,3.8060504192939786e+20,5.950487763836128e+20,2.506027090319236e+19
0.084,5.808836162634594e+20,3.578158808064085e+20,2.5257069637635883e+19
0.085,8.188123739223947e+20,1.6457247190323164e+20,2.534758449718266e+19
0.08600000000000001,9.203453181065175e+20,1.8895690450200917e+20,2.5451510794658763e+19
0.08700000000000001,7.619980847015862e+20,4.558183291560299e+20,2.570221087569458e+19
0.088,4.4186074582015384e+20,7.584789677706038e+20,2.6119374307968414e+19
0.089,2.2140914190516067e+20,8.57518593058601e+20,2.6591009534150644e+19
0.09,2.4586083629108262e+20,7.412438204221762e+20,2.699869363538284e+19
0.091,4.028448211101001e+20,5.922637550503162e+20,2.7324438700660515e+19
0.092,5.148219888991807e+20,5.183069806472268e+20,2.760950754001649e+19
0.093,5.7168957003532684e+20,4.5019432781119704e+20,2.7857114420312646e+19
0.094,6.689677483428539e+20,3.272685167878274e+20,2.803711210454595e+19
0.095,7.912838051939533e+20,2.445966657487281e+20,2.8171640270707753e+19
0.096,7.973913707259101e+20,3.353133342919891e+20,2.8356062604568347e+19
0.097,6.138211424932351e+20,5.8390573190847214e+20,2.8677210757118005e+19
0.098,3.4400399400906287e+20,8.256929291616948e+20,2.9131341868156936e+19
0.099,1.7389687407884157e+20,8.934799785743227e+20,2.9622755856372814e+19
0.1,2.2024043646748738e+20,7.408762623012341e+20,3.0030237800638493e+19
0.101,4.512361903503928e+20,4.742207123330625e+20,3.029105919242168e+19
0.10200000000000001,7.034089601500355e+20,2.8199214806249865e+20,3.0446154873856053e+19
0.10300000000000001,8.062768662575545e+20,2.733663115199002e+20,3.0596506345191997e+19
0.10400000000000001,7.40366973464853e+20,3.778433548912476e+20,3.0804320190382182e+19
0.105,6.299412986781316e+20,4.593369174163693e+20,3.1056955494961185e+19
0.106,5.695922942637783e+20,5.199597621954993e+20,3.134293336416871e+19
0.107,4.7992018811367077e+20,6.563250892256001e+20,3.1703912163242787e+19
0.108,3.043233155765917e+20,8.344793075326309e+20,3.2162875782385734e+19
0.109,1.78854742861554e+20,8.530620290255638e+20,3.2632059898349793e+19
0.11,2.971918494486625e+20,6.061927847250997e+20,3.29654659299486e+19
0.111,6.238144668761527e+20,2.7463897116351067e+20,3.311651736408853e+19
0.112,8.809793532779671e+20,1.4657798728008978e+20,3.319713525709258e+19
0.113,8.601783277792389e+20,2.9470374899928662e+20,3.3359222319042187e+19
0.114,6.364607375241666e+20,5.30938671515925e+20,3.3651238588375945e+19
0.115,4.4135062257291887e+20,6.553183429421163e+20,3.401166367699411e+19
0.116,3.8786038074802995e+20,6.610537840029847e+20,3.437524325819575e+19
0.117,3.9608313049645285e+20,6.671105340969851e+20,3.4742154051949093e+19
0.11800000000000001,3.64632534853801e+20,7.12202043711498e+20,3.5133865175990415e+19
0.11900000000000001,3.353530362149275e+20,6.894037109582308e+20,3.5513037217017442e+19
0.12,4.3723001381843894e+20,5.0341346214645485e+20,3.578991462119799e+19
0.121,6.833330704421357e+20,2.462126672299742e+20,3.592533158817448e+19
0.122,8.898431226639453e+20,1.4627244806572102e+20,3.6005781434610627e+19
0.123,8.506774803880028e+20,3.22399150555091e+20,3.6183100967415927e+19
0.124,5.747760933363023e+20,6.35996325498245e+20,3.6532898946439963e+19
0.125,2.9238588082665865e+20,8.30374779438177e+20,3.698960507513096e+19
0.126,2.1559458307781768e+20,7.921153928613876e+20,3.742526854120472e+19
0.127,3.381692792251127e+20,6.308190106742965e+20,3.777221899707558e+19
0.128,4.9284313216250826e+20,5.132586990436251e+20,3.8054511281549574e+19
0.129,5.6464921007448936e+20,4.7407557342660107e+20,3.8315252846934204e+19
0.13,5.972311818401042e+20,4.217531329742136e+20,3.854721707007002e+19
0.131,6.822553753001382e+20,3.1262997746624306e+20,3.871916355767646e+19
